"NOIND","PERIODE","SISA_CUTI"
"0000430","2016","0"
"0000431","2016","0"
"0000432","2016","8"
"0000433","2016","0"
"0000434","2016","2"
"0000435","2016","0"
"0000436","2016","5"
"0000437","2016","6"
"0000438","2016","1"
"0000440","2016","8"
"0000441","2016","0"
"0000442","2016","2"
"0000443","2016","0"
"0000444","2016","3"
"0000445","2016","1"
"0000446","2016","8"
"0000447","2016","1"
"0000449","2016","0"
"0000450","2016","0"
"0000451","2016","2"
"0000452","2016","0"
"0000454","2016","2"
"0000455","2016","0"
"0000456","2016","0"
"0000457","2016","7"
"0000458","2016","0"
"0000460","2016","1"
"0000461","2016","3"
"0000462","2016","7"
"0000463","2016","3"
"0000464","2016","8"
"0000465","2016","1"
"0000466","2016","0"
"0000467","2016","1"
"0000468","2016","0"
"0000469","2016","0"
"0000470","2016","5"
"0000473","2016","1"
"0000474","2016","1"
"0000475","2016","1"
"0000476","2016","0"
"0000477","2016","3"
"0000478","2016","2"
"0000479","2016","0"
"0000480","2016","4"
"0000483","2016","4"
"0000485","2016","3"
"0000486","2016","0"
"0000487","2016","0"
"0000489","2016","3"
"0000490","2016","0"
"0000491","2016","3"
"0000492","2016","0"
"0000494","2016","3"
"0000496","2016","1"
"0000497","2016","0"
"0000498","2016","3"
"0000499","2016","0"
"0000500","2016","0"
"0000501","2016","0"
"0000502","2016","9"
"0000503","2016","5"
"0000504","2016","7"
"0000505","2016","0"
"0000506","2016","0"
"0000510","2016","4"
"0000511","2016","0"
"0000513","2016","2"
"0000514","2016","0"
"0000515","2016","3"
"0000516","2016","7"
"0000517","2016","4"
"0000518","2016","0"
"0000519","2016","1"
"0000520","2016","1"
"0000522","2016","0"
"0000526","2016","0"
"0000527","2016","0"
"0000528","2016","4"
"0000529","2016","0"
"0000530","2016","2"
"0000531","2016","3"
"0000532","2016","1"
"0000533","2016","0"
"0000536","2016","3"
"0000541","2016","0"
"0000542","2016","7"
"0000543","2016","8"
"0000544","2016","0"
"0000545","2016","0"
"0000546","2016","2"
"0000547","2016","0"
"0000548","2016","2"
"0000551","2016","1"
"0000558","2016","2"
"0000560","2016","7"
"0000564","2016","1"
"0000573","2016","2"
"0000574","2016","0"
"0000575","2016","2"
"0000586","2016","0"
"0000587","2016","10"
"0000678","2016","7"
"0000686","2016","4"
"0000688","2016","1"
"0000707","2016","10"
"0000708","2016","8"
"0000715","2016","10"
"0000762","2016","2"
"0000763","2016","0"
"0000773","2016","5"
"0000781","2016","4"
"0000785","2016","4"
"0000797","2016","8"
"0000852","2016","0"
"0000854","2016","1"
"0000967","2016","0"
"0000968","2016","2"
"0000969","2016","2"
"0000970","2016","1"
"0000971","2016","2"
"0000973","2016","0"
"0000996","2016","0"
"0001008","2016","2"
"0001026","2016","5"
"0001027","2016","0"
"0001035","2016","10"
"0001036","2016","8"
"0001039","2016","10"
"0001049","2016","10"
"0001060","2016","1"
"0001104","2016","3"
"0001107","2016","2"
"0001238","2016","8"
"0001239","2016","0"
"0001266","2016","2"
"0001305","2016","3"
"0001333","2016","1"
"0001339","2016","10"
"0001355","2016","8"
"0001395","2016","0"
"0001420","2016","0"
"0001459","2016","4"
"0001526","2016","4"
"0001584","2016","1"
"0001619","2016","9"
"0001636","2016","1"
"0001662","2016","1"
"0001663","2016","0"
"0001664","2016","0"
"0001665","2016","0"
"0001666","2016","1"
"0001667","2016","0"
"0001668","2016","1"
"0001671","2016","0"
"0001681","2016","2"
"0001683","2016","0"
"0001695","2016","0"
"0001729","2016","0"
"0001730","2016","4"
"0001740","2016","1"
"0001881","2016","0"
"0001893","2016","3"
"0001948","2016","3"
"0001962","2016","4"
"0001968","2016","4"
"0001970","2016","6"
"0001987","2016","6"
"0002016","2016","2"
"0002021","2016","4"
"0002029","2016","4"
"0002036","2016","5"
"0002119","2016","1"
"0002124","2016","1"
"0002127","2016","3"
"0002138","2016","0"
"0002139","2016","0"
"0002140","2016","0"
"0002141","2016","0"
"0002142","2016","0"
"0002143","2016","0"
"0002161","2016","1"
"0002162","2016","6"
"0002169","2016","0"
"0002171","2016","5"
"0002172","2016","4"
"0002175","2016","0"
"0002178","2016","2"
"0002179","2016","0"
"0002183","2016","1"
"0002188","2016","0"
"0002189","2016","0"
"0002196","2016","2"
"0002198","2016","0"
"0002206","2016","0"
"0002207","2016","0"
"0002208","2016","3"
"0002209","2016","0"
"0002210","2016","2"
"0002211","2016","1"
"0002213","2016","8"
"0002214","2016","6"
"0002216","2016","0"
"0002217","2016","0"
"0002221","2016","2"
"0002223","2016","1"
"0002224","2016","0"
"0002226","2016","4"
"0002227","2016","0"
"0002231","2016","1"
"0002234","2016","1"
"0002242","2016","0"
"0002246","2016","1"
"0002253","2016","3"
"0002254","2016","6"
"0002256","2016","5"
"0002261","2016","4"
"0002262","2016","2"
"0002263","2016","0"
"0002267","2016","0"
"0002269","2016","1"
"0002271","2016","0"
"0002272","2016","2"
"0002276","2016","0"
"0002278","2016","5"
"0002280","2016","6"
"0002287","2016","4"
"0002288","2016","0"
"0002290","2016","0"
"0002291","2016","4"
"0002293","2016","0"
"0002297","2016","0"
"0002298","2016","0"
"0002300","2016","7"
"0002302","2016","1"
"0002304","2016","3"
"0002305","2016","1"
"0002307","2016","1"
"0002308","2016","9"
"0002309","2016","0"
"0002310","2016","4"
"0002311","2016","1"
"0002312","2016","5"
"0002315","2016","2"
"0002317","2016","0"
"0002323","2016","5"
"0002327","2016","0"
"0002329","2016","7"
"0002330","2016","2"
"0002331","2016","1"
"0002333","2016","0"
"0002335","2016","1"
"0002336","2016","0"
"0002337","2016","0"
"0002342","2016","4"
"0002343","2016","0"
"0002346","2016","0"
"0002348","2016","2"
"0002350","2016","4"
"0002352","2016","0"
"0002354","2016","1"
"0002356","2016","4"
"0002357","2016","3"
"0002358","2016","0"
"0002361","2016","0"
"0002362","2016","0"
"0002363","2016","1"
"0002364","2016","2"
"0002368","2016","3"
"0002369","2016","0"
"0002370","2016","0"
"0002373","2016","0"
"0002375","2016","0"
"0002376","2016","0"
"0002377","2016","5"
"0002378","2016","5"
"0002379","2016","1"
"0002381","2016","1"
"0002384","2016","5"
"0002386","2016","2"
"0002387","2016","9"
"0002390","2016","1"
"0002391","2016","4"
"0002392","2016","0"
"0002393","2016","1"
"0002394","2016","6"
"0002395","2016","0"
"0002396","2016","0"
"0002398","2016","6"
"0002401","2016","0"
"0002402","2016","0"
"0002405","2016","3"
"0002406","2016","2"
"0002408","2016","4"
"0002414","2016","10"
"0002417","2016","3"
"0002423","2016","7"
"0002425","2016","1"
"0002426","2016","0"
"0002427","2016","2"
"0002433","2016","9"
"0002437","2016","0"
"0002438","2016","1"
"0002447","2016","2"
"0002448","2016","1"
"0002451","2016","1"
"0002452","2016","3"
"0002454","2016","0"
"0002458","2016","5"
"0002466","2016","0"
"0002469","2016","0"
"0002470","2016","0"
"0002473","2016","5"
"0002475","2016","6"
"0002476","2016","6"
"0002480","2016","4"
"0002493","2016","4"
"0002495","2016","5"
"0002496","2016","4"
"0002497","2016","3"
"0002499","2016","3"
"0002505","2016","2"
"0002506","2016","0"
"0002508","2016","0"
"0002510","2016","3"
"0002511","2016","0"
"0002512","2016","4"
"0002520","2016","9"
"0002527","2016","6"
"0002529","2016","1"
"0002531","2016","2"
"0002534","2016","6"
"0002540","2016","2"
"0002545","2016","3"
"0002546","2016","4"
"0002549","2016","1"
"0002553","2016","9"
"0002555","2016","3"
"0002556","2016","4"
"0002559","2016","2"
"0002562","2016","10"
"0002564","2016","10"
"0002570","2016","0"
"0002572","2016","0"
"0002573","2016","10"
"0002577","2016","0"
"0002578","2016","0"
"0002586","2016","3"
"0002589","2016","0"
"0002594","2016","7"
"0002595","2016","4"
"0002600","2016","0"
"0002602","2016","0"
"0002603","2016","0"
"0002604","2016","0"
"0002614","2016","1"
"0002615","2016","7"
"0002619","2016","5"
"0002620","2016","1"
"0002623","2016","2"
"0002624","2016","4"
"0002625","2016","4"
"0002626","2016","3"
"0002627","2016","7"
"0002629","2016","1"
"0002630","2016","2"
"0002632","2016","5"
"0002633","2016","7"
"0002640","2016","0"
"0002641","2016","1"
"0002643","2016","2"
"0002644","2016","2"
"0002645","2016","0"
"0002646","2016","2"
"0002647","2016","0"
"0002651","2016","5"
"0002652","2016","0"
"0002654","2016","3"
"0002655","2016","0"
"0002656","2016","0"
"0002660","2016","0"
"0002662","2016","0"
"0002663","2016","0"
"0002664","2016","1"
"0002665","2016","5"
"0002666","2016","0"
"0002668","2016","6"
"0002669","2016","7"
"0002671","2016","3"
"0002672","2016","3"
"0002673","2016","0"
"0002676","2016","1"
"0002678","2016","3"
"0002679","2016","0"
"0002681","2016","1"
"0002682","2016","5"
"0002687","2016","10"
"0002693","2016","2"
"0002694","2016","2"
"0002695","2016","2"
"0002699","2016","0"
"0002700","2016","0"
"0002702","2016","1"
"0002706","2016","0"
"0002709","2016","4"
"0002710","2016","5"
"0002711","2016","6"
"0002712","2016","0"
"0002713","2016","3"
"0002714","2016","2"
"0002715","2016","0"
"0002720","2016","3"
"0002721","2016","5"
"0002723","2016","2"
"0002725","2016","0"
"0002728","2016","2"
"0002731","2016","4"
"0002732","2016","6"
"0002733","2016","0"
"0002739","2016","7"
"0002741","2016","0"
"0002743","2016","8"
"0002747","2016","10"
"0002750","2016","0"
"0002751","2016","3"
"0002757","2016","0"
"0002759","2016","4"
"0002761","2016","2"
"0002764","2016","0"
"0002771","2016","0"
"0002776","2016","9"
"0002783","2016","7"
"0002790","2016","3"
"0002791","2016","1"
"0002798","2016","3"
"0002799","2016","0"
"0002800","2016","9"
"0002801","2016","7"
"0002802","2016","9"
"0002803","2016","0"
"0002805","2016","2"
"0002809","2016","2"
"0002810","2016","4"
"0002811","2016","3"
"0002812","2016","3"
"0002813","2016","1"
"0002816","2016","7"
"0002819","2016","0"
"0002820","2016","5"
"0002823","2016","1"
"0002825","2016","0"
"0002828","2016","0"
"0002829","2016","9"
"0002830","2016","0"
"0002832","2016","2"
"0002839","2016","8"
"0002842","2016","3"
"0002850","2016","4"
"0002852","2016","1"
"0002853","2016","0"
"0002855","2016","6"
"0002856","2016","3"
"0002857","2016","10"
"0002884","2016","6"
"0002885","2016","5"
"0002886","2016","1"
"0002890","2016","5"
"0002895","2016","3"
"0002896","2016","2"
"0002899","2016","2"
"0002900","2016","2"
"0002901","2016","0"
"0002903","2016","0"
"0002905","2016","1"
"0002906","2016","1"
"0002908","2016","5"
"0002910","2016","3"
"0002912","2016","9"
"0002913","2016","4"
"0002946","2016","1"
"0002947","2016","0"
"0002949","2016","2"
"0002953","2016","7"
"0002955","2016","4"
"0002959","2016","0"
"0002963","2016","4"
"0002966","2016","3"
"0002967","2016","7"
"0002969","2016","1"
"0002972","2016","2"
"0002978","2016","2"
"0002983","2016","4"
"0002986","2016","1"
"0002987","2016","0"
"0002988","2016","3"
"0002989","2016","0"
"0002991","2016","2"
"0003007","2016","5"
"0003035","2016","1"
"0003057","2016","7"
"0003059","2016","3"
"0003060","2016","0"
"0003062","2016","6"
"0003064","2016","10"
"0003081","2016","0"
"0003085","2016","6"
"0003087","2016","2"
"0003088","2016","2"
"0003090","2016","2"
"0003092","2016","4"
"0003097","2016","0"
"0003099","2016","1"
"0003100","2016","1"
"0003102","2016","4"
"0003103","2016","10"
"0003108","2016","0"
"0003109","2016","1"
"0003139","2016","1"
"0003140","2016","0"
"0003143","2016","5"
"0003147","2016","0"
"0003148","2016","2"
"0003154","2016","4"
"0003159","2016","4"
"0003160","2016","3"
"0003161","2016","2"
"0003163","2016","0"
"0003166","2016","5"
"0003170","2016","2"
"0003187","2016","2"
"0003198","2016","8"
"0003200","2016","6"
"0003201","2016","10"
"0003202","2016","5"
"0003203","2016","7"
"0003204","2016","1"
"0003206","2016","6"
"0003213","2016","0"
"0003214","2016","2"
"0003215","2016","1"
"0003224","2016","0"
"0003226","2016","0"
"0003228","2016","4"
"0003263","2016","0"
"0003266","2016","5"
"0003268","2016","8"
"0003272","2016","6"
"0003275","2016","1"
"0003277","2016","0"
"0003280","2016","7"
"0003285","2016","7"
"0003286","2016","4"
"0003292","2016","1"
"0003293","2016","2"
"0003296","2016","9"
"0003310","2016","0"
"0003311","2016","1"
"0003317","2016","0"
"0003318","2016","4"
"0003319","2016","1"
"0003322","2016","2"
"0003327","2016","4"
"0003333","2016","4"
"0003334","2016","2"
"0003336","2016","2"
"0003341","2016","3"
"0003342","2016","0"
"0003343","2016","2"
"0003380","2016","5"
"0003382","2016","5"
"0003384","2016","1"
"0003385","2016","5"
"0003386","2016","1"
"0003387","2016","5"
"0003391","2016","1"
"0003396","2016","0"
"0003397","2016","0"
"0003399","2016","2"
"0003400","2016","0"
"0003401","2016","0"
"0003404","2016","5"
"0003405","2016","5"
"0003410","2016","4"
"0003411","2016","2"
"0003418","2016","0"
"0003419","2016","3"
"0003429","2016","0"
"0003431","2016","1"
"0003434","2016","8"
"0003436","2016","0"
"0003443","2016","0"
"0003444","2016","2"
"0003447","2016","6"
"0003448","2016","5"
"0003452","2016","0"
"0003453","2016","0"
"0003456","2016","3"
"0003457","2016","3"
"0003460","2016","2"
"0003470","2016","0"
"0003471","2016","1"
"0003472","2016","1"
"0003473","2016","0"
"0003476","2016","0"
"0003481","2016","1"
"0003482","2016","1"
"0003484","2016","2"
"0003485","2016","2"
"0003488","2016","6"
"0003489","2016","4"
"0003491","2016","0"
"0003495","2016","1"
"0003497","2016","0"
"0003498","2016","1"
"0003499","2016","0"
"0003507","2016","7"
"0003511","2016","8"
"0003513","2016","2"
"0003522","2016","6"
"0003526","2016","1"
"0003528","2016","2"
"0003529","2016","4"
"0003530","2016","3"
"0003531","2016","2"
"0003533","2016","1"
"0003535","2016","1"
"0003536","2016","1"
"0003538","2016","4"
"0003539","2016","2"
"0003541","2016","5"
"0003543","2016","0"
"0003546","2016","10"
"0003551","2016","0"
"0003554","2016","2"
"0003557","2016","0"
"0003558","2016","1"
"0003559","2016","5"
"0003560","2016","5"
"0003564","2016","3"
"0003565","2016","4"
"0003566","2016","0"
"0003567","2016","2"
"0003568","2016","1"
"0003569","2016","1"
"0003570","2016","4"
"0003572","2016","0"
"0003574","2016","10"
"0003575","2016","10"
"0003578","2016","1"
"0003579","2016","2"
"0003580","2016","0"
"0003581","2016","0"
"0003583","2016","1"
"0003584","2016","0"
"0003586","2016","4"
"0003587","2016","1"
"0003588","2016","7"
"0003595","2016","2"
"0003596","2016","5"
"0003598","2016","3"
"0003599","2016","0"
"0003600","2016","3"
"0003601","2016","2"
"0003608","2016","3"
"0003610","2016","0"
"0003614","2016","2"
"0003615","2016","4"
"0003623","2016","1"
"0003625","2016","0"
"0003627","2016","3"
"0003629","2016","4"
"0003638","2016","4"
"0003639","2016","0"
"0003642","2016","6"
"0003643","2016","3"
"0003644","2016","1"
"0003646","2016","2"
"0003647","2016","2"
"0003656","2016","4"
"0003657","2016","3"
"0003663","2016","1"
"0003670","2016","4"
"0003672","2016","2"
"0003673","2016","2"
"0003677","2016","1"
"0003679","2016","4"
"0003680","2016","5"
"0003681","2016","4"
"0003684","2016","4"
"0003694","2016","0"
"0003700","2016","4"
"0003701","2016","1"
"0003705","2016","5"
"0003706","2016","6"
"0003707","2016","4"
"0003711","2016","2"
"0003714","2016","3"
"0003716","2016","1"
"0003717","2016","4"
"0003721","2016","0"
"0003724","2016","1"
"0003725","2016","3"
"0003726","2016","3"
"0003727","2016","1"
"0003728","2016","1"
"0003729","2016","0"
"0003746","2016","0"
"0003752","2016","1"
"0003753","2016","10"
"0003754","2016","10"
"0003755","2016","10"
"0003756","2016","10"
"0003757","2016","10"
"0003758","2016","10"
"0003759","2016","10"
"0003761","2016","10"
"0003776","2016","4"
"0003778","2016","1"
"0003779","2016","0"
"0003781","2016","1"
"0003782","2016","0"
"0003784","2016","0"
"0003789","2016","3"
"0003792","2016","2"
"0003793","2016","2"
"0003796","2016","0"
"0003797","2016","3"
"0003798","2016","0"
"0003799","2016","0"
"0003801","2016","2"
"0003802","2016","1"
"0003803","2016","4"
"0003804","2016","4"
"0003805","2016","2"
"0003810","2016","4"
"0003815","2016","1"
"0003819","2016","0"
"0003820","2016","0"
"0003822","2016","2"
"0003823","2016","2"
"0003830","2016","2"
"0003837","2016","0"
"0003838","2016","3"
"0003843","2016","1"
"0003862","2016","6"
"0003863","2016","0"
"0003864","2016","2"
"0003874","2016","5"
"0003875","2016","2"
"0003921","2016","2"
"0003922","2016","5"
"0003923","2016","2"
"0003924","2016","2"
"0003926","2016","5"
"0003929","2016","3"
"0003933","2016","2"
"0003934","2016","1"
"0003935","2016","1"
"0003940","2016","2"
"0003944","2016","4"
"0003946","2016","1"
"0003947","2016","3"
"0003949","2016","0"
"0003952","2016","3"
"0003953","2016","4"
"0003954","2016","0"
"0003955","2016","1"
"0003957","2016","2"
"0003962","2016","3"
"0003966","2016","2"
"0003969","2016","1"
"0003971","2016","0"
"0003972","2016","0"
"0003973","2016","4"
"0003974","2016","0"
"0003975","2016","0"
"0003977","2016","5"
"0003982","2016","6"
"0003983","2016","1"
"0003984","2016","1"
"0004002","2016","6"
"0004003","2016","5"
"0004004","2016","0"
"0004006","2016","0"
"0004009","2016","0"
"0004017","2016","3"
"0004018","2016","6"
"0004019","2016","1"
"0004020","2016","4"
"0004021","2016","4"
"0004022","2016","0"
"0004023","2016","1"
"0004026","2016","0"
"0004027","2016","0"
"0004028","2016","0"
"0004029","2016","1"
"0004032","2016","2"
"0004033","2016","2"
"0004034","2016","2"
"0004040","2016","0"
"0004042","2016","1"
"0004044","2016","6"
"0004045","2016","4"
"0004046","2016","3"
"0004047","2016","3"
"0004048","2016","0"
"0004049","2016","3"
"0004050","2016","0"
"0004051","2016","4"
"0004052","2016","3"
"0004053","2016","4"
"0004054","2016","3"
"0004056","2016","0"
"0004057","2016","0"
"0004058","2016","5"
"0004059","2016","2"
"0004060","2016","4"
"0004063","2016","2"
"0004064","2016","0"
"0004065","2016","3"
"0004067","2016","2"
"0004068","2016","1"
"0004069","2016","4"
"0004072","2016","2"
"0004073","2016","2"
"0004075","2016","2"
"0004077","2016","4"
"0004079","2016","0"
"0004080","2016","1"
"0004083","2016","3"
"0004084","2016","6"
"0004085","2016","1"
"0004089","2016","0"
"0004090","2016","0"
"0004092","2016","0"
"0004093","2016","0"
"0004098","2016","1"
"0004099","2016","4"
"0004100","2016","0"
"0004101","2016","4"
"0004102","2016","1"
"0004105","2016","1"
"0004106","2016","0"
"0004108","2016","3"
"0004109","2016","0"
"0004110","2016","0"
"0004111","2016","0"
"0004112","2016","0"
"0004113","2016","1"
"0004114","2016","0"
"0004115","2016","1"
"0004116","2016","0"
"0004117","2016","2"
"0004119","2016","2"
"0004120","2016","5"
"0004121","2016","4"
"0004128","2016","3"
"0004130","2016","3"
"0004131","2016","5"
"0004134","2016","2"
"0004135","2016","0"
"0004137","2016","3"
"0004139","2016","2"
"0004140","2016","1"
"0004141","2016","0"
"0004143","2016","2"
"0004144","2016","2"
"0004146","2016","4"
"0004148","2016","4"
"0004151","2016","1"
"0004152","2016","0"
"0004153","2016","3"
"0004154","2016","1"
"0004156","2016","2"
"0004157","2016","2"
"0004158","2016","4"
"0004161","2016","0"
"0004162","2016","1"
"0004164","2016","4"
"0004166","2016","2"
"0004168","2016","2"
"0004169","2016","5"
